time,speed,throttle_input,brake_input,steering_angle,yaw_rate,rpm
0.0,0.0,0.0,1.0,-0.5,0.1,1000
0.2,2.5,0.3,0.8,0.3,0.05,1200
0.4,5.0,0.5,0.5,0.5,0.08,1500
0.6,7.5,0.7,0.2,1.2,0.12,1800
0.8,10.0,0.8,0.0,1.8,0.18,2100
1.0,12.5,0.9,0.0,2.0,0.22,2400
1.2,15.0,0.95,0.0,1.5,0.15,2700
1.4,17.5,1.0,0.0,0.8,0.10,3000
1.6,19.0,1.0,0.0,0.2,0.05,3200
1.8,20.5,0.9,0.0,0.0,0.02,3400
2.0,22.0,0.8,0.0,-0.3,0.03,3600
2.2,23.5,0.7,0.0,-0.8,0.06,3800
2.4,25.0,0.5,0.0,-1.5,0.14,3900
2.6,26.0,0.4,0.0,-2.0,0.20,4000
2.8,26.5,0.3,0.0,-2.2,0.25,4100
3.0,27.0,0.2,0.0,-2.0,0.22,4200
3.2,26.5,0.2,0.1,-1.5,0.16,4100
3.4,25.0,0.1,0.3,-0.8,0.08,4000
3.6,22.5,0.0,0.5,0.0,0.03,3800
3.8,20.0,0.0,0.7,0.5,0.05,3600
4.0,17.5,0.0,0.8,1.0,0.08,3400
4.2,15.0,0.0,0.9,1.5,0.12,3200
4.4,12.5,0.0,0.95,1.8,0.15,3000
4.6,10.0,0.0,0.85,2.0,0.18,2800
4.8,8.0,0.0,0.7,1.5,0.12,2600
5.0,6.0,0.1,0.5,0.5,0.06,2400
5.2,4.0,0.2,0.3,0.0,0.02,2200
5.4,2.0,0.4,0.1,0.0,0.01,2000
5.6,0.5,0.5,0.0,0.0,0.0,1800
0.1,2.5,0.1,0.95,-0.3,0.15,-0.02,-1.8,1200,1
0.2,5.2,0.2,0.85,-0.1,0.1,-0.01,-0.5,1500,1
0.3,8.0,0.3,0.75,0.0,0.05,0.0,0.0,1800,1
0.4,11.5,0.4,0.65,0.2,0.08,0.01,0.3,2100,1
0.5,15.0,0.5,0.55,0.5,0.12,0.02,0.5,2500,2
0.6,18.5,0.6,0.45,0.8,0.15,0.03,0.6,3200,2
0.7,22.0,0.7,0.35,1.0,0.2,0.04,0.7,3800,2
0.8,25.5,0.8,0.25,1.2,0.25,0.05,0.8,4500,3
0.9,28.0,0.85,0.15,1.5,0.3,0.06,0.9,5200,3
1.0,30.5,0.9,0.05,1.8,0.35,0.07,1.0,5800,3
1.1,32.0,0.95,0.0,2.0,0.4,0.08,1.1,6200,3
1.2,33.0,1.0,0.0,2.2,0.45,0.09,1.2,6800,4
1.3,33.5,1.0,0.0,2.5,0.5,0.1,1.3,7200,4
1.4,34.0,1.0,0.0,2.8,0.55,0.11,1.4,7500,4
1.5,34.2,0.95,0.05,3.0,0.6,0.12,1.5,7200,4
1.6,32.0,0.5,0.3,2.5,0.35,0.08,0.8,5500,3
1.7,28.0,0.2,0.7,1.8,0.2,0.04,0.3,4200,3
1.8,22.5,0.1,0.85,1.0,0.15,0.02,0.0,-1.8,2
1.9,18.0,0.05,0.9,0.5,0.1,0.01,-0.3,2800,2
2.0,15.0,0.1,0.8,0.2,0.08,0.0,-0.5,2400,2
2.1,25.0,0.5,0.3,-0.1,0.12,0.01,-0.2,3800,2
2.2,32.0,0.75,0.1,-0.5,0.2,0.03,0.1,5200,3
2.3,36.5,0.9,0.0,-0.8,0.28,0.05,0.3,6200,3
2.4,39.0,0.95,0.0,-1.0,0.35,0.07,0.5,6800,4
2.5,40.5,1.0,0.0,-1.2,0.42,0.09,0.7,7300,4
2.6,41.0,1.0,0.0,-1.5,0.5,0.11,0.9,7600,4
2.7,40.0,0.9,0.08,-1.8,0.55,0.12,1.0,7200,4
2.8,36.0,0.3,0.6,-1.5,0.4,0.08,0.5,5800,3
2.9,30.0,0.1,0.8,-1.0,0.25,0.04,0.0,4500,3
3.0,24.0,0.05,0.9,-0.5,0.15,0.02,-0.3,3200,2
3.1,20.0,0.08,0.85,-0.2,0.12,0.01,-0.5,2800,2
3.2,18.0,0.15,0.75,0.0,0.1,0.0,-0.4,2600,2
3.3,28.0,0.6,0.2,0.5,0.18,0.02,0.1,4200,2
3.4,35.0,0.85,0.05,1.0,0.3,0.05,0.4,5800,3
3.5,40.0,1.0,0.0,1.5,0.42,0.08,0.7,6800,4
3.6,42.5,0.95,0.0,2.0,0.55,0.11,1.0,7400,4
3.7,43.0,1.0,0.0,2.2,0.62,0.13,1.1,7800,4
3.8,42.5,0.95,0.05,2.0,0.58,0.12,1.0,7500,4
3.9,40.0,0.5,0.3,1.5,0.4,0.07,0.5,6200,3
4.0,35.0,0.2,0.6,0.8,0.22,0.03,0.0,4800,3
4.1,28.0,0.1,0.75,0.2,0.12,0.01,-0.3,3600,2
4.2,22.0,0.05,0.85,0.0,0.08,0.0,-0.5,2800,2
4.3,18.0,0.08,0.8,-0.3,0.1,0.0,-0.4,2400,2
4.4,16.5,0.12,0.7,-0.5,0.12,0.01,-0.2,2200,1
4.5,20.0,0.3,0.4,-0.8,0.2,0.02,0.1,3200,1
4.6,28.0,0.65,0.1,-1.0,0.35,0.05,0.4,4800,2
4.7,35.0,0.9,0.0,-1.2,0.5,0.08,0.7,6200,3
4.8,40.5,1.0,0.0,-1.5,0.65,0.11,0.9,7000,4
4.9,42.0,0.98,0.0,-1.8,0.72,0.13,1.0,7500,4
5.0,42.5,1.0,0.0,-2.0,0.8,0.15,1.1,7800,4
